game id,turn,dice,action,written,kept,score change,score,expect
0,1,34612,Roll,,,,0,246.301971
0,1,34412,Reroll,,4321,,0,244.275925
0,1,34212,Reroll,,4321,,0,241.844681
0,1,00000,Write,1024,,30,30,241.844681
0,2,22463,Roll,,,,30,238.479782
0,2,22145,Reroll,,22,,30,235.021469
0,2,22311,Reroll,,22,,30,231.682236
0,2,00000,Write,1,,2,32,231.682236
0,3,34366,Roll,,,,32,231.612106
0,3,33666,Reroll,,66,,32,236.209335
0,3,26666,Reroll,,666,,32,248.617920
0,3,00000,Write,32,,24,56,248.617920
0,4,41216,Roll,,,,56,244.746140
0,4,41245,Reroll,,4,,56,241.850571
0,4,46645,Reroll,,44,,56,240.488876
0,4,00000,Write,64,,25,81,240.488876
0,5,34522,Roll,,,,81,241.935883
0,5,34526,Reroll,,5432,,81,254.047806
0,5,00000,Write,2048,,40,121,254.047806
0,6,22325,Roll,,,,121,257.454803
0,6,22626,Reroll,,222,,121,254.561218
0,6,22226,Reroll,,222,,121,256.222595
0,6,00000,Write,2,,8,129,256.222595
0,7,36536,Roll,,,,129,255.045723
0,7,32534,Reroll,,33,,129,251.339119
0,7,31233,Reroll,,33,,129,253.632759
0,7,00000,Write,4,,9,138,253.632759
0,8,55356,Roll,,,,138,263.391716
0,8,55651,Reroll,,555,,138,260.209702
0,8,55551,Reroll,,555,,138,264.682663
0,8,00000,Write,16,,20,158,264.682663
0,8,00000,Write,8192,,35,193,264.682663
0,9,64523,Roll,,,,193,261.410812
0,9,63632,Reroll,,6,,193,259.928589
0,9,64662,Reroll,,66,,193,264.322044
0,9,00000,Write,128,,24,217,264.322044
0,10,22322,Roll,,,,217,275.759354
0,10,22522,Reroll,,2222,,217,269.958073
0,10,22522,Reroll,,2222,,217,264.196545
0,10,00000,Write,256,,13,230,264.196545
0,11,23526,Roll,,,,230,263.291782
0,11,25621,Reroll,,22,,230,259.924969
0,11,25423,Reroll,,22,,230,256.643991
0,11,00000,Write,4096,,0,230,256.643991
0,12,11663,Roll,,,,230,257.325754
0,12,11653,Reroll,,11,,230,252.184875
0,12,11351,Reroll,,11,,230,263.425926
0,12,00000,Write,512,,25,255,263.425927
0,13,21214,Roll,,,,255,263.888889
0,13,22224,Reroll,,4,,255,261.666667
0,13,32224,Reroll,,4,,255,259.000000
0,13,00000,Write,8,,4,259,259.000000
1,1,25225,Roll,,,,0,250.702667
1,1,23222,Reroll,,222,,0,254.985580
1,1,23222,Reroll,,2222,,0,249.762924
1,1,00000,Write,2,,8,8,249.762924
1,2,31542,Roll,,,,8,258.092361
1,2,00000,Write,2048,,40,48,258.092361
1,3,11454,Roll,,,,48,256.837021
1,3,62424,Reroll,,44,,48,252.281219
1,3,15414,Reroll,,44,,48,248.465683
1,3,00000,Write,1,,2,50,248.465683
1,4,23266,Roll,,,,50,249.222107
1,4,36566,Reroll,,66,,50,254.191864
1,4,36666,Reroll,,666,,50,264.971588
1,4,00000,Write,32,,24,74,264.971588
1,5,36411,Roll,,,,74,262.148392
1,5,25445,Reroll,,4,,74,260.631378
1,5,61444,Reroll,,44,,74,262.897736
1,5,00000,Write,8,,12,86,262.897736
1,6,12355,Roll,,,,86,263.595886
1,6,41455,Reroll,,55,,86,259.056824
1,6,14355,Reroll,,55,,86,250.741760
1,6,00000,Write,16,,10,96,250.741760
1,7,33316,Roll,,,,96,260.916489
1,7,33331,Reroll,,333,,96,264.279602
1,7,33334,Reroll,,3333,,96,259.922455
1,7,00000,Write,4,,12,108,259.922447
1,7,00000,Write,8192,,35,143,259.922447
1,8,35321,Roll,,,,143,257.468887
1,8,33323,Reroll,,33,,143,265.932899
1,8,33343,Reroll,,3333,,143,259.929482
1,8,00000,Write,256,,16,159,259.929482
1,9,51663,Roll,,,,159,259.874847
1,9,31666,Reroll,,66,,159,262.153183
1,9,65666,Reroll,,666,,159,264.858551
1,9,00000,Write,128,,29,188,264.858551
1,10,11134,Roll,,,,188,268.073631
1,10,11116,Reroll,,111,,188,265.578819
1,10,11116,Reroll,,6111,,188,255.625565
1,10,00000,Write,4096,,0,188,255.625565
1,11,33422,Roll,,,,188,256.094910
1,11,33421,Reroll,,432,,188,259.021881
1,11,00000,Write,1024,,30,218,259.021881
1,12,22445,Roll,,,,218,257.853836
1,12,22445,Reroll,,4422,,218,253.522186
1,12,22441,Reroll,,4422,,218,244.366611
1,12,00000,Write,64,,13,231,244.366611
1,13,44565,Roll,,,,231,244.888889
1,13,44555,Reroll,,5544,,231,256.000000
1,13,00000,Write,512,,25,256,256.000000
2,1,25246,Roll,,,,0,245.653732
2,1,26235,Reroll,,22,,0,242.184769
2,1,21244,Reroll,,22,,0,238.144684
2,1,00000,Write,2,,4,4,238.144684
2,2,21222,Roll,,,,4,245.102341
2,2,24222,Reroll,,2222,,4,239.789612
2,2,23222,Reroll,,2222,,4,232.614319
2,2,00000,Write,256,,11,15,232.614319
2,3,34451,Roll,,,,15,230.722290
2,3,54422,Reroll,,44,,15,225.953522
2,3,54462,Reroll,,44,,15,221.086380
2,3,00000,Write,64,,21,36,221.086380
2,4,64655,Roll,,,,36,220.592651
2,4,63623,Reroll,,66,,36,214.769165
2,4,64652,Reroll,,66,,36,206.339798
2,4,00000,Write,1,,0,36,206.339798
2,5,43336,Roll,,,,36,209.211670
2,5,13335,Reroll,,333,,36,206.011581
2,5,23334,Reroll,,333,,36,202.143311
2,5,00000,Write,4,,9,45,202.143311
2,6,64121,Roll,,,,45,198.674011
2,6,14312,Reroll,,4,,45,199.195755
2,6,14322,Reroll,,4321,,45,196.261322
2,6,00000,Write,1024,,30,75,196.261330
2,7,43651,Roll,,,,75,193.362015
2,7,43456,Reroll,,543,,75,189.907021
2,7,44466,Reroll,,44,,75,196.560905
2,7,00000,Write,512,,25,100,196.560905
2,8,65126,Roll,,,,100,196.934135
2,8,66646,Reroll,,66,,100,215.731438
2,8,66626,Reroll,,6666,,100,212.101006
2,8,00000,Write,32,,24,124,212.101006
2,9,64241,Roll,,,,124,212.640564
2,9,14541,Reroll,,44,,124,205.561203
2,9,24442,Reroll,,44,,124,214.080109
2,9,00000,Write,8,,12,136,214.080109
2,10,16226,Roll,,,,136,211.149612
2,10,66246,Reroll,,66,,136,215.807610
2,10,66516,Reroll,,666,,136,214.020111
2,10,00000,Write,128,,24,160,214.020115
2,11,35423,Roll,,,,160,219.273109
